Date,Open,High,Low,Close,Adj Close,Volume
2021-02-03,169.800003,171.000000,166.500000,168.699997,155.319611,11055
2021-02-04,167.000000,170.300003,167.000000,169.000000,155.595810,14115
2021-02-05,170.000000,176.000000,170.000000,175.000000,161.119934,28556
2021-02-08,175.100006,177.100006,170.199997,171.699997,158.081680,12192
2021-02-09,172.899994,173.399994,166.199997,167.000000,153.754456,18276
2021-02-10,167.000000,173.600006,165.100006,171.199997,157.621323,26647
2021-02-11,170.500000,179.399994,170.500000,176.600006,162.593033,22037
2021-02-12,177.399994,179.800003,175.399994,178.300003,164.158203,8446
2021-02-15,178.399994,184.899994,172.500000,175.000000,161.119934,63384
2021-02-16,175.100006,187.800003,175.100006,187.100006,172.260239,41664
2021-02-17,186.899994,190.000000,184.000000,185.800003,171.063339,22095
2021-02-18,184.899994,187.100006,181.500000,183.000000,168.485413,16742
2021-02-19,182.500000,183.100006,180.100006,180.399994,166.091629,17012
2021-02-22,180.000000,182.600006,176.199997,182.600006,168.117142,10844
2021-02-23,183.000000,183.300003,173.000000,175.399994,161.488205,29601
2021-02-24,176.899994,178.000000,173.899994,177.899994,163.789917,22854
2021-02-25,177.899994,181.899994,176.300003,181.899994,167.472656,15245
2021-02-26,180.000000,182.800003,176.600006,180.699997,166.367844,30474
2021-03-01,183.000000,184.699997,181.600006,183.500000,168.945770,12626
2021-03-02,182.000000,184.800003,180.300003,180.300003,165.999573,35830
2021-03-03,183.500000,186.699997,180.399994,182.100006,167.656799,12846
2021-03-04,180.199997,184.000000,179.300003,184.000000,169.406113,11725
2021-03-05,184.000000,184.000000,177.199997,179.000000,164.802673,22388
2021-03-08,179.500000,184.300003,179.500000,183.899994,169.314026,39271
2021-03-09,184.000000,188.399994,184.000000,186.899994,172.076080,14507
2021-03-10,187.800003,193.800003,187.600006,193.500000,178.152603,23629
2021-03-11,194.000000,195.899994,192.000000,193.000000,177.692276,14190
2021-03-12,192.899994,196.500000,192.800003,195.000000,179.533646,26241
2021-03-15,195.000000,196.000000,192.699997,194.000000,178.612961,17162
2021-03-16,193.800003,197.600006,191.399994,193.000000,177.692276,16096
2021-03-17,190.600006,193.000000,182.300003,187.100006,172.260239,43832
2021-03-18,188.100006,193.600006,188.100006,188.399994,173.457108,15469
2021-03-19,188.000000,190.199997,186.300003,190.000000,174.930222,68772
2021-03-22,192.500000,192.500000,187.199997,190.500000,175.390549,11331
2021-03-23,190.000000,191.100006,186.800003,190.399994,175.298492,11661
2021-03-24,188.100006,188.199997,177.199997,180.500000,166.183701,17260
2021-03-25,178.100006,183.199997,166.199997,182.300003,167.840927,45777
2021-03-26,182.300003,184.699997,173.500000,178.600006,164.434418,27961
2021-03-29,177.100006,183.300003,177.100006,183.300003,168.761627,16724
2021-03-30,180.800003,186.000000,180.100006,186.000000,171.247467,16539
2021-03-31,182.699997,185.000000,179.800003,183.199997,168.669556,18069
